DHSID_EA,relevance_score,most_relevant_sentences
TJ-2017-7#-00000209,1.0,"In early 2000, local Taliban authorities asked for the UN's assistance to rebuild drainage ditches around the tops of the alcoves where the Buddhas were set.Semple, Michael Why the Buddhas of Bamian were destroyed , Afghanistan Analysts Network 2 March 2011   Destruction  In an interview, Taliban leader Mullah Omar provided an ostensible explanation for his order to destroy the statues:  On 6 March 2001, The Times quoted Mullah Mohammed Omar as stating, ""Muslims should be proud of smashing idols."
TJ-2017-7#-00000241,1.0,"In 1887, the Russian Empire began to operate a brown water navy on the Amu Darya River."
TJ-2017-7#-00000144,1.0,"While the bombardment went on, Alexander ordered certain of his troops to sneak through a dried-up water course that went under the town's wall. The rest apparently sought refuge inside the town's central fortress, but surrendered after one day for lack of water."
TJ-2012-6#-00000349,1.0,"In April 2012, the water supply at the Rostaq district's school for girls was poisoned by unknown insurgents, sickening at least 140 Afghan schoolgirls and teachers ranging in age from 14 to 30, causing them to be hospitalized and some to partially lose consciousness, though there have been no deaths so far."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2017-7#-00000098,2.0,"The reservoir supplies water for irrigation, primarily in Uzbekistan downstream, and hydroelectric power production."
TJ-2012-6#-00000332,2.0,Its reservoir also holds water for the irrigation of some  in the Yovon and Obikiik Valleys to the west.
TJ-2012-6#-00000292,2.0,It serves to provide water to a system of irrigation canals and generate hydroelectric power.
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2012-6#-00000115,1.0,"The Farkhad Dam (also known as Dam-16) is a hydroelectric and irrigation dam on the  Spitamen in Sughd Province, Tajikistan."
TJ-2017-7#-00000199,1.0,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream. Uzbekistan, Kazakhstan and Turkmenistan are concerned that the filling of the power plant's reservoir and the actual operation of the power plant will harm the water needed for their crop production. References  Category:Hydroelectric power stations in Tajikistan Category:Hydroelectric power stations built in the Soviet Union Category:Russia–Tajikistan relations Category:Inter RAO Category:Dams on the Vakhsh River Category:Khatlon Region Category:Embankment dams Category:Dams completed in 2009 Category:Energy infrastructure completed in 2009 Category:2009 establishments in Tajikistan"
TJ-2017-7#-00000199,1.0,References  Category:Hydroelectric power stations in Tajikistan Category:Dams in Tajikistan Category:Dams completed in 2011 Category:Dams on the Vakhsh River Category:Earth-filled dams Category:Energy infrastructure completed in 2011 Category:Khatlon Region Category:2011 establishments in Tajikistan Category:Iran–Tajikistan relations
TJ-2012-6#-00000258,1.0,On the Tajik part of the range there are 240 glaciers with a total area of 144 km2.Сарыкольский хребет - article from the Great Soviet Encyclopedia The range's drainage basin feeds both the Amu Darya and Tarim River.
TJ-2012-6#-00000105,1.0,"Due to its natural isolation and limited infrastructure access, the people of Yaghnob Valley have been able to preserve their distinct lifestyle, culture and language, Yaghnobi, which is closely related to ancient Sogdian. The conference delegates formulated an appeal to the government and citizens of Tajikistan, and also to international organizations, for support in the establishment of the Yaghnob Natural Ethnography Park and for help in the sustainable and responsible development of the Yaghnob Valley, including improvements in the infrastructure."
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2017-7#-00000098,2.0,"The reservoir supplies water for irrigation, primarily in Uzbekistan downstream, and hydroelectric power production."
TJ-2012-6#-00000332,2.0,Its reservoir also holds water for the irrigation of some  in the Yovon and Obikiik Valleys to the west.
TJ-2012-6#-00000292,2.0,It serves to provide water to a system of irrigation canals and generate hydroelectric power.
TJ-2012-6#-00000078,1.0,"On the walls in the enameled ceramics shown for water, and the ceiling is decorated with ganch."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2017-7#-00000209,1.0,"In early 2000, local Taliban authorities asked for the UN's assistance to rebuild drainage ditches around the tops of the alcoves where the Buddhas were set.Semple, Michael Why the Buddhas of Bamian were destroyed , Afghanistan Analysts Network 2 March 2011   Destruction  In an interview, Taliban leader Mullah Omar provided an ostensible explanation for his order to destroy the statues:  On 6 March 2001, The Times quoted Mullah Mohammed Omar as stating, ""Muslims should be proud of smashing idols."
TJ-2017-7#-00000241,1.0,"In 1887, the Russian Empire began to operate a brown water navy on the Amu Darya River."
TJ-2017-7#-00000209,1.0,"In early 2000, local Taliban authorities asked for the UN's assistance to rebuild drainage ditches around the tops of the alcoves where the Buddhas were set.Semple, Michael Why the Buddhas of Bamian were destroyed , Afghanistan Analysts Network 2 March 2011   Destruction  In an interview, Taliban leader Mullah Omar provided an ostensible explanation for his order to destroy the statues:  On 6 March 2001, The Times quoted Mullah Mohammed Omar as stating, ""Muslims should be proud of smashing idols."
TJ-2017-7#-00000241,1.0,"In 1887, the Russian Empire began to operate a brown water navy on the Amu Darya River."
TJ-2017-7#-00000144,1.0,"While the bombardment went on, Alexander ordered certain of his troops to sneak through a dried-up water course that went under the town's wall. The rest apparently sought refuge inside the town's central fortress, but surrendered after one day for lack of water."
TJ-2012-6#-00000349,1.0,"In April 2012, the water supply at the Rostaq district's school for girls was poisoned by unknown insurgents, sickening at least 140 Afghan schoolgirls and teachers ranging in age from 14 to 30, causing them to be hospitalized and some to partially lose consciousness, though there have been no deaths so far."
TJ-2012-6#-00000259,1.0,"Another source calls the lake ""a deeper and possibly marshy section within the Aq Su-Little Pamir River drainage divide"".The International Boundary Study of the Afghanistan-USSR Boundary (1983)  by the US Bureau of Intelligence and Research, p.10."
TJ-2017-7#-00000006,1.0,"In early 2006, the Dushanbe Synagogue and the local mikveh (ritual bath), kosher butcher, as well as Jewish schools were demolished by the government without compensation to make room for the new palace."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2012-6#-00000259,1.0,Large-scale irrigation has transformed huge areas of desert into productive agricultural land.
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2012-6#-00000115,1.0,"The Farkhad Dam (also known as Dam-16) is a hydroelectric and irrigation dam on the  Spitamen in Sughd Province, Tajikistan."
TJ-2017-7#-00000199,1.0,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream. Uzbekistan, Kazakhstan and Turkmenistan are concerned that the filling of the power plant's reservoir and the actual operation of the power plant will harm the water needed for their crop production. References  Category:Hydroelectric power stations in Tajikistan Category:Hydroelectric power stations built in the Soviet Union Category:Russia–Tajikistan relations Category:Inter RAO Category:Dams on the Vakhsh River Category:Khatlon Region Category:Embankment dams Category:Dams completed in 2009 Category:Energy infrastructure completed in 2009 Category:2009 establishments in Tajikistan"
TJ-2017-7#-00000199,1.0,References  Category:Hydroelectric power stations in Tajikistan Category:Dams in Tajikistan Category:Dams completed in 2011 Category:Dams on the Vakhsh River Category:Earth-filled dams Category:Energy infrastructure completed in 2011 Category:Khatlon Region Category:2011 establishments in Tajikistan Category:Iran–Tajikistan relations
TJ-2012-6#-00000258,1.0,On the Tajik part of the range there are 240 glaciers with a total area of 144 km2.Сарыкольский хребет - article from the Great Soviet Encyclopedia The range's drainage basin feeds both the Amu Darya and Tarim River.
TJ-2012-6#-00000105,1.0,"Due to its natural isolation and limited infrastructure access, the people of Yaghnob Valley have been able to preserve their distinct lifestyle, culture and language, Yaghnobi, which is closely related to ancient Sogdian. The conference delegates formulated an appeal to the government and citizens of Tajikistan, and also to international organizations, for support in the establishment of the Yaghnob Natural Ethnography Park and for help in the sustainable and responsible development of the Yaghnob Valley, including improvements in the infrastructure."
TJ-2012-6#-00000116,2.0,Water is precious in the region and is utilized for irrigation − an irrigation system that has developed involves 85 main canal totalling a length of .
TJ-2012-6#-00000259,1.0,"Another source calls the lake ""a deeper and possibly marshy section within the Aq Su-Little Pamir River drainage divide"".The International Boundary Study of the Afghanistan-USSR Boundary (1983)  by the US Bureau of Intelligence and Research, p.10."
TJ-2017-7#-00000006,1.0,"In early 2006, the Dushanbe Synagogue and the local mikveh (ritual bath), kosher butcher, as well as Jewish schools were demolished by the government without compensation to make room for the new palace."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2012-6#-00000115,1.0,"The Farkhad Dam (also known as Dam-16) is a hydroelectric and irrigation dam on the  Spitamen in Sughd Province, Tajikistan."
TJ-2017-7#-00000199,1.0,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream. Uzbekistan, Kazakhstan and Turkmenistan are concerned that the filling of the power plant's reservoir and the actual operation of the power plant will harm the water needed for their crop production. References  Category:Hydroelectric power stations in Tajikistan Category:Hydroelectric power stations built in the Soviet Union Category:Russia–Tajikistan relations Category:Inter RAO Category:Dams on the Vakhsh River Category:Khatlon Region Category:Embankment dams Category:Dams completed in 2009 Category:Energy infrastructure completed in 2009 Category:2009 establishments in Tajikistan"
TJ-2017-7#-00000199,1.0,References  Category:Hydroelectric power stations in Tajikistan Category:Dams in Tajikistan Category:Dams completed in 2011 Category:Dams on the Vakhsh River Category:Earth-filled dams Category:Energy infrastructure completed in 2011 Category:Khatlon Region Category:2011 establishments in Tajikistan Category:Iran–Tajikistan relations
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2012-6#-00000259,1.0,Large-scale irrigation has transformed huge areas of desert into productive agricultural land.
TJ-2017-7#-00000349,1.0,"The glacial meltwater is the main source of agricultural irrigation in the county, and it is also the main source of supply for the Gez River () and the Kushan River (). These jade stones exposed in the rock formations by the river are washed into the riverbed in the lower reaches by water, and stepping on jade in the Yarkand River has become a production activity and industry that the locals have been engaged for thousands of years. The area is flat, at an altitude of about 1,200 to 15,00 meters, with abundant water and fertile land, most of which are agricultural oasis."
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2012-6#-00000078,1.0,"On the walls in the enameled ceramics shown for water, and the ceiling is decorated with ganch."
TJ-2012-6#-00000121,1.0,"Its infrastructure also includes an emergency and fire service building, a technical block, a checkpoint, a garage for special vehicles, and other auxiliary facilities."
TJ-2012-6#-00000259,1.0,"Another source calls the lake ""a deeper and possibly marshy section within the Aq Su-Little Pamir River drainage divide"".The International Boundary Study of the Afghanistan-USSR Boundary (1983)  by the US Bureau of Intelligence and Research, p.10."
TJ-2017-7#-00000006,1.0,"In early 2006, the Dushanbe Synagogue and the local mikveh (ritual bath), kosher butcher, as well as Jewish schools were demolished by the government without compensation to make room for the new palace."
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2012-6#-00000259,1.0,"Another source calls the lake ""a deeper and possibly marshy section within the Aq Su-Little Pamir River drainage divide"".The International Boundary Study of the Afghanistan-USSR Boundary (1983)  by the US Bureau of Intelligence and Research, p.10."
TJ-2017-7#-00000006,1.0,"In early 2006, the Dushanbe Synagogue and the local mikveh (ritual bath), kosher butcher, as well as Jewish schools were demolished by the government without compensation to make room for the new palace."
TJ-2012-6#-00000078,1.0,"On the walls in the enameled ceramics shown for water, and the ceiling is decorated with ganch."
TJ-2012-6#-00000078,1.0,The reservoir provides irrigation for Tashkent Province.
TJ-2012-6#-00000078,1.0,"The stadium has a restaurant and café bars, fast food establishments, toilets, fitness clubs, and other facilities and points. There are drainage and field heating. The complex also houses a youth football school, a swimming pool and other sports facilities, as well as other infrastructure facilities."
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2012-6#-00000259,1.0,Large-scale irrigation has transformed huge areas of desert into productive agricultural land.
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2012-6#-00000259,1.0,Large-scale irrigation has transformed huge areas of desert into productive agricultural land.
TJ-2017-7#-00000349,1.0,"The glacial meltwater is the main source of agricultural irrigation in the county, and it is also the main source of supply for the Gez River () and the Kushan River (). These jade stones exposed in the rock formations by the river are washed into the riverbed in the lower reaches by water, and stepping on jade in the Yarkand River has become a production activity and industry that the locals have been engaged for thousands of years. The area is flat, at an altitude of about 1,200 to 15,00 meters, with abundant water and fertile land, most of which are agricultural oasis."
TJ-2017-7#-00000209,1.0,"Panjab contains 5 valleys (Darai Sia, Darai Nargis, Darai Mahretuspus, Darai Ghurguri and Darai Taquab-Barg), the water running through the 5 valleys meet in the centre of the district.UNHCR Sub-Office Central Region -  District Profile Punjab Its population is entirely Hazara people."
TJ-2017-7#-00000008,2.0,Some small scale industrial development also occurred during this time along with the expansion of irrigation infrastructure.
TJ-2017-7#-00000317,5.0,Environment - current issues: inadequate sanitation facilities; increasing levels of soil salinity; industrial pollution; excessive pesticides; part of the basin of the shrinking Aral Sea suffers from severe overutilization of available water for irrigation and associated pollution.
TJ-2017-7#-00000123,7.0,"Natural hazards: NA  Environment – current issues: shrinkage of the Aral Sea is resulting in growing concentrations of chemical pesticides and natural salts; these substances are then blown from the increasingly exposed lake bed and contribute to desertification; water pollution from industrial wastes and the heavy use of fertilizers and pesticides is the cause of many human health disorders; increasing soil salination; soil contamination from agricultural chemicals, including DDT  Environment – international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands signed, but not ratified: none of the selected agreements  Water pollution  Large-scale use of chemicals for cotton cultivation, inefficient irrigation systems, and poor drainage systems are examples of the conditions that led to a high filtration of salinized and contaminated water back into the soil."
TJ-2017-7#-00000209,1.0,"In early 2000, local Taliban authorities asked for the UN's assistance to rebuild drainage ditches around the tops of the alcoves where the Buddhas were set.Semple, Michael Why the Buddhas of Bamian were destroyed , Afghanistan Analysts Network 2 March 2011   Destruction  In an interview, Taliban leader Mullah Omar provided an ostensible explanation for his order to destroy the statues:  On 6 March 2001, The Times quoted Mullah Mohammed Omar as stating, ""Muslims should be proud of smashing idols."
TJ-2017-7#-00000241,1.0,"In 1887, the Russian Empire began to operate a brown water navy on the Amu Darya River."
TJ-2017-7#-00000144,1.0,"While the bombardment went on, Alexander ordered certain of his troops to sneak through a dried-up water course that went under the town's wall. The rest apparently sought refuge inside the town's central fortress, but surrendered after one day for lack of water."
